Date/Time,Cooling Load(kWh),Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh)
 09/01  09:00:00,640.0226344,27.775,24.25410778,0.017767222,2,446.9922453
 09/01  10:00:00,633.3367942,29.275,24.9444071,0.018258604,2,382.5642128
 09/01  11:00:00,632.2570533,30.775,25.63994698,0.018777586,2,372.4164483
 09/01  12:00:00,639.3524064,31.75,26.019136,0.019016939,2.408333333,374.0439225
 09/01  13:00:00,603.76801,32.29166667,26.13761984,0.019001415,3.05,361.2711786
 09/01  14:00:00,659.630645,32.85,26.25647682,0.018984482,3.708333333,378.0479864
 09/01  15:00:00,664.61624,32.69166667,26.28754694,0.019115296,3.825,381.8234378
 09/01  16:00:00,676.5540047,31.99166667,26.31876539,0.019480685,3.466666667,387.6936197
 09/01  17:00:00,668.7674689,31.29166667,26.38719384,0.019908348,3.125,386.390705
 09/01  18:00:00,562.2216733,30.70833333,26.33374778,0.020062769,2.825,351.9144192
 09/01  19:00:00,427.7241544,30.15,26.24167657,0.020138983,2.466666667,306.8176122
 09/01  20:00:00,414.0081822,29.60833333,26.1239426,0.020151069,2.125,300.7699122
 09/01  21:00:00,314.4956833,29.28333333,26.04141595,0.020136621,2,269.887613
 09/01  22:00:00,0,29.08333333,26.00735728,0.02016274,2,0
 09/01  23:00:00,0,28.88333333,25.97068641,0.020197226,2,0
 09/01  24:00:00,0,28.74166667,25.98715573,0.020295439,2,0
 09/02  01:00:00,0,28.58333333,25.98632524,0.020361567,2,0
 09/02  02:00:00,0,28.38333333,25.94405799,0.020373565,2,0
 09/02  03:00:00,0,28.18333333,25.81483876,0.020235483,2,0
 09/02  04:00:00,0,28.04166667,25.59533085,0.019906553,2,0
 09/02  05:00:00,0,27.88333333,25.38450107,0.019606594,2,0
 09/02  06:00:00,0,27.85833333,25.19009634,0.019289656,1.591666667,0
 09/02  07:00:00,0,28.01666667,25.04375437,0.018977434,0.95,0
 09/02  08:00:00,523.2900008,28.15833333,24.78858341,0.018482764,0.291666667,418.1747106
