Date/Time,Cooling Load(kWh£©,Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh£©
 05/01  03:00:00,0,25.9,25.7190326,0.021080622,1.141666667,0
 05/01  04:00:00,0,25.95833333,25.90516641,0.021387287,1.041666667,0
 05/01  05:00:00,0,26.175,25.72179018,0.020964788,2.166666667,0
 05/01  06:00:00,0,26.125,25.80206858,0.021115684,2.416666667,0
 05/01  07:00:00,0,26,25.99999354,0.021499532,1.416666667,0
 05/01  08:00:00,347.74671,26.35,25.81809572,0.021024897,1,369.6590772
 05/01  09:00:00,511.6517108,27.41666667,26.56148276,0.021867071,1,474.5153933
 05/01  10:00:00,537.7990017,28.58333333,27.35696666,0.022792964,1.583333333,434.7965069
 05/01  11:00:00,561.6696414,29.64166667,26.95539353,0.02160803,2.583333333,393.0680389
 05/01  12:00:00,568.4941844,30.04166667,27.66733035,0.022754089,2.416666667,399.6080933
 05/01  13:00:00,522.268,29.41666667,28.28921941,0.02420417,2.583333333,394.1156244
 05/01  14:00:00,589.5776147,30.98333333,27.49065389,0.022056685,4.166666667,397.7043792
 05/01  15:00:00,596.3815553,29.83333333,27.15872868,0.021954866,5,387.7261886
 05/01  16:00:00,589.9577842,28,27.19103864,0.02282374,3.833333333,387.3469506
 05/01  17:00:00,575.1029953,28.46666667,25.96702774,0.020459252,2.416666667,360.9082336
 05/01  18:00:00,472.0493661,28.33333333,26.81779354,0.022024072,3.75,334.964595
 05/01  19:00:00,341.2617864,28,27.53022764,0.023439803,5,301.4563331
 05/01  20:00:00,325.8334892,28.23333333,26.264644,0.021038264,3.25,280.1761453
 05/01  21:00:00,240.3838334,27.58333333,26.44432321,0.021622786,3.166666667,257.7907281
 05/01  22:00:00,0,27,26.99999428,0.02285275,4,0
 05/01  23:00:00,0,27,26.99999975,0.022842945,2.833333333,0
 05/01  24:00:00,0,26.41666667,26.41666058,0.022047828,2,0
 05/02  01:00:00,0,26,25.99999686,0.021490327,2,0
 05/02  02:00:00,0,26.525,25.91315418,0.021127277,3.166666667,0
 05/02  03:00:00,0,26.375,25.93978124,0.021259841,2.833333333,0
 05/02  04:00:00,0,26,25.99999398,0.021521652,1.416666667,0
 05/02  05:00:00,0,26.46666667,26.01012138,0.021330171,0.416666667,0
 05/02  06:00:00,0,26.33333333,26.00837126,0.02138423,1.75,0
 05/02  07:00:00,0,26,25.99999507,0.021512428,2.416666667,0
 05/02  08:00:00,0,25.88333333,25.43362327,0.02057648,2,0
 05/02  09:00:00,0,26.5,25.71564123,0.020774903,3.75,0
 05/02  10:00:00,0,27.58333333,26.38096277,0.021458961,4.416666667,0
 05/02  11:00:00,0,26.71666667,25.25391665,0.019884294,2.833333333,0
 05/02  12:00:00,0,26.5,25.43872214,0.02027724,2.583333333,0
 05/02  13:00:00,0,28.16666667,26.53447552,0.0214726,3.583333333,0
 05/02  14:00:00,0,27.19166667,25.17717414,0.019584094,3.416666667,0
 05/02  15:00:00,0,27.125,25.06646444,0.019423927,3.583333333,0
 05/02  16:00:00,0,27.41666667,25.63914951,0.020260722,4,0
 05/02  17:00:00,0,25.89166667,24.53121464,0.019063629,2.25,0
 05/02  18:00:00,0,25.625,24.63697501,0.019348157,2.75,0
 05/02  19:00:00,0,25.41666667,25.09765139,0.020184491,4,0
 05/02  20:00:00,0,24.825,24.16243219,0.018885792,3.416666667,0
 05/02  21:00:00,0,24.29166667,23.82324578,0.01854593,1.25,0
 05/02  22:00:00,0,24,23.99999255,0.018942935,1.75,0
